id,label,depth
153,BWC-037-153@08:33.607,596.452274
154,BWC-037-154@08:33.742,596.452011
155,BWC-037-155@08:33.878,596.451681
156,BWC-037-156@08:34.016,596.451351
157,BWC-037-157@08:34.155,596.451079
158,BWC-037-158@08:34.294,596.450769
159,BWC-037-159@08:34.572,596.450454
160,BWC-037-160@08:34.704,596.450141
161,BWC-037-161@08:34.825,596.449847
162,BWC-037-162@08:34.946,596.449581
163,BWC-037-163@08:35.067,596.449251
164,BWC-037-164@08:35.228,596.448961
165,BWC-037-165@08:35.427,596.448678
166,BWC-037-166@08:35.642,596.448348
167,BWC-037-167@08:35.852,596.448016
168,BWC-037-168@08:36.049,596.447768
169,BWC-037-169@08:36.270,596.447481
170,BWC-037-170@08:36.494,596.447129
171,BWC-037-171@08:38.253,596.446799
172,BWC-037-172@08:38.409,596.446459
173,BWC-037-173@08:38.556,596.44616
174,BWC-037-174@08:38.686,596.44583
175,BWC-037-175@08:38.809,596.445499
176,BWC-037-176@08:38.935,596.445169
177,BWC-037-177@09:21.296,596.44489
178,BWC-037-178@09:21.472,596.444559
179,BWC-037-179@09:21.661,596.444302
180,BWC-037-180@09:21.838,596.444075
181,BWC-037-181@09:22.014,596.443732
182,BWC-037-182@09:22.195,596.443429
183,BWC-037-183@09:22.362,596.443211
184,BWC-037-184@09:22.540,596.442998
185,BWC-037-185@09:22.736,596.442668
186,BWC-037-186@09:22.908,596.442516
187,BWC-037-187@09:23.784,596.442186
188,BWC-037-188@09:23.944,596.442001
189,BWC-037-189@09:24.509,596.441637
190,BWC-037-190@09:24.678,596.441306
191,BWC-037-191@09:29.792,596.440976
192,BWC-037-192@09:29.920,596.440646
193,BWC-037-193@09:30.062,596.440329
194,BWC-037-194@09:30.374,596.439991
195,BWC-037-195@09:30.517,596.439678
196,BWC-037-196@09:30.664,596.439348
197,BWC-037-197@09:30.822,596.439107
198,BWC-037-198@09:33.361,596.438804
199,BWC-037-199@09:33.499,596.438474
200,BWC-037-200@09:33.622,596.438202
201,BWC-037-201@09:34.203,596.437872
202,BWC-037-202@09:54.580,596.437542
203,BWC-037-203@09:54.764,596.437211
204,BWC-037-204@10:05.825,596.436881
205,BWC-037-205@10:06.003,596.436594
206,BWC-037-206@10:07.625,596.436381
207,BWC-037-207@10:07.803,596.436089
208,BWC-037-208@10:20.350,596.435862
209,BWC-037-209@25:13.519,272.598814
210,BWC-037-210@25:13.683,272.598979
211,BWC-037-211@25:15.118,272.599208
212,BWC-037-212@25:15.287,272.599467
213,BWC-037-213@25:15.732,272.599661
214,BWC-037-214@25:15.885,272.59991
